gameid,home,homescore,away,awayscore,date
201811061,Kansas,92,Michigan State,87,11/6/2018
201811062,Kentucky,84,Duke,118,11/6/2018
201811063,Gonzaga,120,Idaho State,79,11/6/2018
201811064,Virginia,73,Towson,42,11/6/2018
201811065,Tennessee,86,Lenoir-Rhyne,41,11/6/2018
201811066,Nevada,86,Brigham Young,70,11/6/2018
201811067,Wofford,67,North Carolina,78,11/6/2018
201811068,Villanova,100,Morgan State,77,11/6/2018
201811069,Auburn,101,South Alabama,58,11/6/2018
2018110610,Oregon,84,Portland State,57,11/6/2018
2018110611,Syracuse,66,Eastern Washington,34,11/6/2018
2018110612,Florida State,81,Florida,60,11/6/2018
2018110613,Michigan,63,Norfolk State,44,11/6/2018
2018110614,UCLA,96,Purdue-Fort Wayne,71,11/6/2018
2018110615,Clemson,100,Citadel,80,11/6/2018
2018110616,Louisiana State,94,Southeastern Louisiana,63,11/6/2018
2018110617,Purdue,90,Fairfield,57,11/6/2018
2018110618,Washington,73,Western Kentucky,55,11/6/2018
2018110619,South Florida,80,Alabama A&M,63,11/6/2018
2018110620,Iowa State,79,Alabama State,53,11/6/2018
2018110621,Fresno State,91,Alaska-Anchorage,63,11/6/2018
2018110622,Tulsa,73,Alcorn State,56,11/6/2018
2018110623,North Texas,89,Angelo State,55,11/6/2018
2018110624,San Diego State,76,Arkansas-Pine Bluff,60,11/6/2018
2018110625,Abilene Christian,107,Arlington Baptist,54,11/6/2018
2018110626,Northern Iowa,97,Bemidji State,51,11/6/2018
2018110627,Furman,102,Bob Jones University,48,11/6/2018
2018110628,Northeastern,74,Boston University,77,11/6/2018
2018110629,South Carolina State,99,Brevard,51,11/6/2018
2018110630,Rhode Island,97,Bryant,63,11/6/2018
2018110631,Arizona State,102,Cal State Fullerton,94,11/6/2018
2018110632,Oregon State,72,UC-Riverside,59,11/6/2018
2018110633,Wyoming,66,UC-Santa Barbara,76,11/6/2018
2018110634,Akron,70,Cedarville,50,11/6/2018
2018110635,Northwestern State,102,Centenary (LA),62,11/6/2018
2018110636,Missouri,68,Central Arkansas,55,11/6/2018
2018110637,Hartford,68,Central Connecticut State,75,11/6/2018
2018110638,Charlotte,69,Chattanooga,80,11/6/2018
2018110639,Indiana,104,Chicago State,55,11/6/2018
2018110640,Fordham,106,City College of New York,58,11/6/2018
2018110641,Davidson,83,Cleveland State,63,11/6/2018
2018110642,NJIT,81,Colgate,78,11/6/2018
2018110643,Charleston Southern,100,Columbia International,68,11/6/2018
2018110644,Valparaiso,121,Concordia (IL),65,11/6/2018
2018110645,Central Michigan,98,Concordia (MI),67,11/6/2018
2018110646,Wisconsin,85,Coppin State,63,11/6/2018
2018110647,Binghamton,75,Cornell,86,11/6/2018
2018110648,Tennessee-Martin,91,Cumberland,58,11/6/2018
2018110649,Radford,91,Davis & Elkins,57,11/6/2018
2018110650,Maryland,73,Delaware,67,11/6/2018
2018110651,East Carolina,81,Delaware State,56,11/6/2018
2018110652,Western Michigan,89,Detroit Mercy,76,11/6/2018
2018110653,James Madison,86,East Mennonite,58,11/6/2018
2018110654,Georgia State,74,East Tennessee State,68,11/6/2018
2018110655,Sam Houston State,85,East Texas Baptist,64,11/6/2018
2018110656,Texas,71,Eastern Illinois,59,11/6/2018
2018110657,Manhattan,56,Elon,62,11/6/2018
2018110658,Coastal Carolina,91,Ferrum,47,11/6/2018
2018110659,Jacksonville,50,Florida A&M,65,11/6/2018
2018110660,Illinois State,74,Florida Gulf Coast,66,11/6/2018
2018110661,Troy,95,Fort Valley State,60,11/6/2018
2018110662,Virginia Commonwealth,69,Gardner-Webb,57,11/6/2018
2018110663,South Dakota State,79,Grand Canyon,74,11/6/2018
2018110664,Lamar,79,Huston-Tillotson,59,11/6/2018
2018110665,UC-Irvine,86,Idaho,68,11/6/2018
2018110666,Notre Dame,84,Illinois-Chicago,67,11/6/2018
2018110667,Texas Tech,87,Incarnate Word,37,11/6/2018
2018110668,Ball State,86,Indiana State,69,11/6/2018
2018110669,Xavier,82,IUPUI,69,11/6/2018
2018110670,Air Force,90,Johnson & Wales,65,11/6/2018
2018110671,Morehead State,102,Kentucky Christian,82,11/6/2018
2018110672,Temple,75,La Salle,67,11/6/2018
2018110673,Middle Tennessee,91,Lees-McRae,69,11/6/2018
2018110674,Monmouth,61,Lehigh,85,11/6/2018
2018110675,Jackson State,66,Louisiana-Monroe,75,11/6/2018
2018110676,Wichita State,58,Louisiana Tech,71,11/6/2018
2018110677,St. John's (NY),76,Loyola (MD),55,11/6/2018
2018110678,Denver,63,Maine,50,11/6/2018
2018110679,Army,73,Marist,69,11/6/2018
2018110680,Appalachian State,125,Mars Hill,62,11/6/2018
2018110681,Marquette,67,Maryland-Baltimore County,42,11/6/2018
2018110682,Georgetown,68,Maryland-Eastern Shore,53,11/6/2018
2018110683,Harvard,78,Massachusetts Institute of Technology,66,11/6/2018
2018110684,Massachusetts,83,Massachusetts-Lowell,75,11/6/2018
2018110685,Alabama-Birmingham,75,Mercer,67,11/6/2018
2018110686,Hampton,110,Mid-Atlantic Christian,58,11/6/2018
2018110687,Boston College,73,Milwaukee,53,11/6/2018
2018110688,Nicholls State,86,Mississippi College,58,11/6/2018
2018110689,Nebraska,106,Mississippi Valley State,37,11/6/2018
2018110690,Loyola (IL),76,Missouri-Kansas City,45,11/6/2018
2018110691,North Carolina State,105,Mount St. Mary's,55,11/6/2018
2018110692,Portland,111,Multnomah,103,11/6/2018
2018110693,Old Dominion,67,Navy,44,11/6/2018
2018110694,Minnesota,104,Omaha,76,11/6/2018
2018110695,Cal State Northridge,84,New Mexico,87,11/6/2018
2018110696,Long Island University,74,New Rochelle,76,11/6/2018
2018110697,Dartmouth,114,Newbury,39,11/6/2018
2018110698,Samford,91,North Alabama,74,11/6/2018
2018110699,North Carolina A&T,66,North Carolina-Greensboro,74,11/6/2018
20181106100,Campbell,97,North Carolina-Wilmington,93,11/6/2018
20181106101,New Mexico State,73,North Dakota State,56,11/6/2018
20181106102,North Dakota,104,Northland,48,11/6/2018
20181106103,Austin Peay,114,Oakland City,53,11/6/2018
20181106104,Missouri State,84,Oral Roberts,50,11/6/2018
20181106105,Southern Illinois-Edwardsville,65,Pacific,74,11/6/2018
20181106106,George Mason,71,Pennsylvania,72,11/6/2018
20181106107,College of Charleston,85,Presbyterian,73,11/6/2018
20181106108,Longwood,84,Randolph,56,11/6/2018
20181106109,Central Florida,84,Rider,70,11/6/2018
20181106110,New Hampshire,108,Rivier,54,11/6/2018
20181106111,Southern California,83,Robert Morris,62,11/6/2018
20181106112,Eastern Michigan,77,Rochester (MI),67,11/6/2018
20181106113,Northern Illinois,93,Rockford,54,11/6/2018
20181106114,Holy Cross,93,Sacred Heart,81,11/6/2018
20181106115,Buffalo,82,Saint Francis (PA),67,11/6/2018
20181106116,Rice,80,Saint Leo,64,11/6/2018
20181106117,UC-Davis,42,San Francisco,76,11/6/2018
20181106118,Southern Mississippi,111,Southeastern Baptist College,66,11/6/2018
20181106119,Stanford,96,Seattle,74,11/6/2018
20181106120,Lipscomb,97,Sewanee,53,11/6/2018
20181106121,Providence,77,Siena,58,11/6/2018
20181106122,South Carolina,65,South Carolina Upstate,52,11/6/2018
20181106123,Saint Louis,75,Southeast Missouri State,65,11/6/2018
20181106124,Alabama,82,Southern,62,11/6/2018
20181106125,New Orleans,95,Spring Hill,66,11/6/2018
20181106126,George Washington,74,Stony Brook,77,11/6/2018
20181106127,Memphis,76,Tennessee Tech,61,11/6/2018
20181106128,Texas-Rio Grande Valley,91,Texas A&M-Commerce,84,11/6/2018
20181106129,Texas-El Paso,90,Texas-Permian Basin,63,11/6/2018
20181106130,Baylor,69,Texas Southern,72,11/6/2018
20181106131,Texas-Arlington,90,Texas-Tyler,66,11/6/2018
20181106132,Stephen F. Austin,83,Texas Wesleyan,71,11/6/2018
20181106133,Bowling Green State,91,Tiffin,52,11/6/2018
20181106134,Montana State,71,Utah State,101,11/6/2018
20181106135,Louisiana,121,UVI,80,11/6/2018
20181106136,Seton Hall,89,Wagner,49,11/6/2018
20181106137,Virginia Military Institute,89,Washington College,56,11/6/2018
20181106138,San Diego,83,Weber State,66,11/6/2018
20181106139,Southern Utah,109,West Coast Baptist,63,11/6/2018
20181106140,Loyola Marymount,75,Westcliff,43,11/6/2018
20181106141,Creighton,78,Western Illinois,67,11/6/2018
20181106142,Utah Valley,96,Westminster (MO),71,11/6/2018
20181106143,Northern Kentucky,102,Wilmington (OH),38,11/6/2018
20181106144,Vanderbilt,92,Winthrop,79,11/6/2018
20181106145,Green Bay,110,Wisconsin Lutheran,54,11/6/2018
20181106146,Pittsburgh,69,Youngstown State,53,11/6/2018
20181106147,Texas Christian,66,Cal State Bakersfield,61,11/7/2018
20181106148,DePaul,80,Bethune-Cookman,58,11/7/2018
20181106149,St. Bonaventure,85,Bucknell,88,11/7/2018
20181106150,Pepperdine,100,Cal State Dominguez Hills,66,11/7/2018
20181106151,Georgia Southern,139,Carver Bible,51,11/7/2018
20181106152,Colorado State,100,Colorado Christian,66,11/7/2018
20181106153,Florida Atlantic,98,Florida Tech,52,11/7/2018
20181106154,William & Mary,79,High Point,69,11/7/2018
20181106155,Arizona,90,Houston Baptist,60,11/7/2018
20181106156,Texas A&M-Corpus Christi,81,Howard Payne,34,11/7/2018
20181106157,Stetson,116,Johnson University,66,11/7/2018
20181106158,Saint Peter's,93,Lafayette,86,11/7/2018
20181106159,San Jose State,89,Life Pacific,72,11/7/2018
20181106160,Eastern Kentucky,77,Marshall,105,11/7/2018
20181106161,Saint Mary's (CA),87,McNeese State,65,11/7/2018
20181106162,St. Francis (NY),92,Medgar Evers,42,11/7/2018
20181106163,Cal Poly,82,Menlo,75,11/7/2018
20181106164,Dayton,78,North Florida,70,11/7/2018
20181106165,Kennesaw State,68,Oglethorpe,57,11/7/2018
20181106166,Cincinnati,56,Ohio State,64,11/7/2018
20181106167,Texas A&M,98,Savannah State,83,11/7/2018
20181106168,Texas-San Antonio,76,St. Edward's,77,11/7/2018
20181106169,Howard,115,Washington Adventist,91,11/7/2018
20181106170,Florida International,110,Webber,84,11/7/2018
20181106171,Wright State,96,Western Carolina,73,11/7/2018
20181106172,Ohio,97,Wilberforce,61,11/7/2018
20181106173,Bradley,74,Wisconsin-Parkside,58,11/7/2018
20181106174,South Dakota,83,York (NE),58,11/7/2018
20181106175,South Dakota State,78,Alabama State,61,11/8/2018
20181106176,Drake,98,Buena Vista,52,11/8/2018
20181106177,Notre Dame,89,Chicago State,62,11/8/2018
20181106178,Purdue-Fort Wayne,112,Earlham,51,11/8/2018
20181106179,Illinois,99,Evansville,60,11/8/2018
20181106180,Central Arkansas,99,Hendrix,73,11/8/2018
20181106181,East Tennessee State,109,Hiwassee,44,11/8/2018
20181106182,Utah,75,Maine,61,11/8/2018
20181106183,Liberty,89,Maine-Fort Kent,40,11/8/2018
20181106184,Norfolk State,108,Mid-Atlantic Christian,50,11/8/2018
20181106185,Iowa,77,Missouri-Kansas City,63,11/8/2018
20181106186,Connecticut,80,Morehead State,70,11/8/2018
20181106187,Northwestern,82,New Orleans,52,11/8/2018
20181106188,Louisville,85,Nicholls State,72,11/8/2018
20181106189,Southern Methodist,69,Northwestern State,58,11/8/2018
20181106190,Seattle,95,Puget Sound,67,11/8/2018
20181106191,George Washington,61,Siena,69,11/8/2018
20181106192,Florida Gulf Coast,81,Southeastern,54,11/8/2018
20181106193,Little Rock,101,Southeastern Oklahoma State,92,11/8/2018
20181106194,Stephen F. Austin,68,Southwest Assemblies of God,67,11/8/2018
20181106195,Sam Houston State,94,Southwestern,56,11/8/2018
20181106196,North Carolina-Asheville,87,St. Andrews,47,11/8/2018
20181106197,Cornell,86,SUNY-Canton,44,11/8/2018
20181106198,Kentucky,71,Southern Illinois,59,11/9/2018
20181106199,Tennessee,87,Louisiana,65,11/9/2018
20181106200,Nevada,83,Pacific,61,11/9/2018
20181106201,Elon,67,North Carolina,116,11/9/2018
20181106202,Auburn,88,Washington,66,11/9/2018
20181106203,Kansas State,56,Kennesaw State,41,11/9/2018
20181106204,West Virginia,94,Buffalo,99,11/9/2018
20181106205,Oregon,81,Eastern Washington,47,11/9/2018
20181106206,Virginia Tech,87,Gardner-Webb,59,11/9/2018
20181106207,Mississippi State,95,Austin Peay,67,11/9/2018
20181106208,UCLA,91,Long Beach State,80,11/9/2018
20181106209,Clemson,71,North Carolina Central,51,11/9/2018
20181106210,Louisiana State,97,North Carolina-Greensboro,91,11/9/2018
20181106211,Texas State,67,Air Force,57,11/9/2018
20181106212,Iona,72,Albany (NY),68,11/9/2018
20181106213,George Mason,75,American,78,11/9/2018
20181106214,Cal State Bakersfield,111,Antelope Valley,75,11/9/2018
20181106215,Texas,73,Arkansas,71,11/9/2018
20181106216,Abilene Christian,94,Arkansas State,73,11/9/2018
20181106217,Weber State,123,Bethesda University (CA),53,11/9/2018
20181106218,Alcorn State,79,Blue Mountain College,55,11/9/2018
20181106219,St. John's (NY),84,Bowling Green State,80,11/9/2018
20181106220,Long Island University,83,Brown,81,11/9/2018
20181106221,Omaha,94,Buena Vista,58,11/9/2018
20181106222,Texas A&M,73,UC-Irvine,74,11/9/2018
20181106223,Florida,76,Charleston Southern,46,11/9/2018
20181106224,Central Michigan,101,Chicago State,60,11/9/2018
20181106225,Campbell,75,Coastal Carolina,85,11/9/2018
20181106226,Northern Colorado,126,Colorado College,56,11/9/2018
20181106227,Davidson,79,Dartmouth,76,11/9/2018
20181106228,Princeton,85,DeSales,51,11/9/2018
20181106229,Temple,83,Detroit Mercy,67,11/9/2018
20181106230,Eastern Michigan,66,Drexel,62,11/9/2018
20181106231,Rutgers,90,Fairleigh Dickinson,55,11/9/2018
20181106232,Loyola (IL),58,Furman,60,11/9/2018
20181106233,Montana,81,Georgia State,74,11/9/2018
20181106234,Virginia Commonwealth,69,Hampton,57,11/9/2018
20181106235,Utah State,100,Hartford,73,11/9/2018
20181106236,North Texas,93,Humboldt State,48,11/9/2018
20181106237,Radford,88,Illinois-Chicago,78,11/9/2018
20181106238,Green Bay,74,Indiana State,78,11/9/2018
20181106239,Samford,92,Jacksonville State,72,11/9/2018
20181106240,East Carolina,72,James Madison,73,11/9/2018
20181106241,Grambling,105,Jarvis Christian,68,11/9/2018
20181106242,Florida International,117,Johnson & Wales (FL),47,11/9/2018
20181106243,Georgia Tech,88,Lamar,69,11/9/2018
20181106244,Miami (FL),83,Lehigh,62,11/9/2018
20181106245,Richmond,58,Longwood,63,11/9/2018
20181106246,Navy,57,Maryland,78,11/9/2018
20181106247,Arizona State,80,McNeese State,52,11/9/2018
20181106248,Middle Tennessee,102,Milligan,70,11/9/2018
20181106249,Texas Tech,84,Mississippi Valley State,52,11/9/2018
20181106250,Iowa State,76,Missouri,59,11/9/2018
20181106251,Colgate,87,Monmouth,74,11/9/2018
20181106252,Indiana,80,Montana State,35,11/9/2018
20181106253,Saint Francis (PA),80,Morgan State,62,11/9/2018
20181106254,Hofstra,79,Mount St. Mary's,61,11/9/2018
20181106255,Massachusetts,104,New Hampshire,75,11/9/2018
20181106256,Binghamton,57,NJIT,74,11/9/2018
20181106257,Penn State,87,North Florida,72,11/9/2018
20181106258,Harvard,71,Northeastern,81,11/9/2018
20181106259,Northern Illinois,85,Northern Kentucky,88,11/9/2018
20181106260,Texas-Rio Grande Valley,76,Oklahoma,91,11/9/2018
20181106261,Saint Joseph's,79,Old Dominion,64,11/9/2018
20181106262,Texas A&M-Corpus Christi,113,Our Lady of the Lake,83,11/9/2018
20181106263,Mercer,105,Piedmont,52,11/9/2018
20181106264,Hawaii,82,Portland,64,11/9/2018
20181106265,Santa Clara,64,Prairie View,81,11/9/2018
20181106266,Pennsylvania,92,Rice,76,11/9/2018
20181106267,Missouri State,74,Robert Morris,60,11/9/2018
20181106268,UC-Davis,57,San Diego,76,11/9/2018
20181106269,California Baptist,87,San Diego Christian,71,11/9/2018
20181106270,Georgia,110,Savannah State,76,11/9/2018
20181106271,Sacramento State,76,Simpson,52,11/9/2018
20181106272,Oral Roberts,79,Southwestern,62,11/9/2018
20181106273,Incarnate Word,63,St. Francis (IL),49,11/9/2018
20181106274,North Carolina-Wilmington,59,Stanford,72,11/9/2018
20181106275,South Carolina,81,Stony Brook,83,11/9/2018
20181106276,New Mexico State,96,Texas-El Paso,69,11/9/2018
20181106277,Oakland,86,Toledo,87,11/9/2018
20181106278,Brigham Young,75,Utah Valley,65,11/9/2018
20181106279,Boston University,72,Vermont,78,11/9/2018
20181106280,Pittsburgh,94,Virginia Military Institute,55,11/9/2018
20181106281,Providence,80,Wichita State,83,11/9/2018
20181106282,Southeastern Louisiana,78,William Carey,57,11/9/2018
20181106283,University of California,59,Yale,76,11/9/2018
20181106284,Gonzaga,104,Texas Southern,67,11/10/2018
20181106285,Villanova,86,Quinnipiac,53,11/10/2018
20181106286,Syracuse,84,Morehead State,70,11/10/2018
20181106287,Michigan,56,Holy Cross,37,11/10/2018
20181106288,Purdue,84,Ball State,75,11/10/2018
20181106289,Youngstown State,69,Akron,98,11/10/2018
20181106290,Houston,101,Alabama A&M,54,11/10/2018
20181106291,Colorado State,92,Arkansas-Pine Bluff,67,11/10/2018
20181106292,South Dakota State,86,Bemidji State,63,11/10/2018
20181106293,Marquette,92,Bethune-Cookman,59,11/10/2018
20181106294,North Alabama,72,Blue Mountain College,59,11/10/2018
20181106295,South Carolina Upstate,86,Brevard,43,11/10/2018
20181106296,Portland State,71,UC-Riverside,64,11/10/2018
20181106297,Georgetown,85,Central Connecticut State,78,11/10/2018
20181106298,Norfolk State,74,Clarion,46,11/10/2018
20181106299,Western Carolina,74,College of Charleston,77,11/10/2018
20181106300,Marist,82,Columbia,76,11/10/2018
20181106301,Dayton,76,Coppin State,46,11/10/2018
20181106302,Saint Peter's,75,Delaware,78,11/10/2018
20181106303,Grand Canyon,89,Delaware State,47,11/10/2018
20181106304,IUPUI,71,Eastern Illinois,65,11/10/2018
20181106305,Chattanooga,78,Eastern Kentucky,81,11/10/2018
20181106306,Xavier,91,Evansville,85,11/10/2018
20181106307,Bucknell,58,Fairfield,60,11/10/2018
20181106308,Houston Baptist,75,Fordham,72,11/10/2018
20181106309,Hawaii,90,Humboldt State,54,11/10/2018
20181106310,Boise State,70,Idaho State,72,11/10/2018
20181106311,Belmont,100,Illinois State,89,11/10/2018
20181106312,St. Bonaventure,67,Jackson State,36,11/10/2018
20181106313,Northern Arizona,97,Jacksonville,82,11/10/2018
20181106314,Cleveland State,79,Kent State,83,11/10/2018
20181106315,La Salle,76,Lafayette,77,11/10/2018
20181106316,Nevada-Las Vegas,50,Loyola Marymount,61,11/10/2018
20181106317,San Francisco,93,Maine,50,11/10/2018
20181106318,North Carolina State,95,Maryland-Eastern Shore,49,11/10/2018
20181106319,Long Beach State,78,Menlo,57,11/10/2018
20181106320,Butler,90,Miami (OH),68,11/10/2018
20181106321,Louisiana-Monroe,94,Millsaps,52,11/10/2018
20181106322,Wake Forest,90,North Carolina A&T,78,11/10/2018
20181106323,Milwaukee,60,North Dakota,63,11/10/2018
20181106324,Western Illinois,84,North Park,56,11/10/2018
20181106325,Texas-Arlington,74,Northern Iowa,65,11/10/2018
20181106326,Charlotte,66,Oklahoma State,64,11/10/2018
20181106327,North Texas,78,Portland,73,11/10/2018
20181106328,Tennessee Tech,65,Presbyterian,80,11/10/2018
20181106329,Maryland-Baltimore County,93,Shenandoah,45,11/10/2018
20181106330,Tulsa,74,South Carolina State,52,11/10/2018
20181106331,Bradley,68,Southeast Missouri State,57,11/10/2018
20181106332,Baylor,80,Southern,53,11/10/2018
20181106333,San Jose State,59,Southern Utah,66,11/10/2018
20181106334,Western Kentucky,86,Tennessee-Martin,71,11/10/2018
20181106335,Lipscomb,86,Tennessee State,79,11/10/2018
20181106336,Incarnate Word,66,Texas-Tyler,54,11/10/2018
20181106337,Saint Louis,62,Troy,58,11/10/2018
20181106338,Florida A&M,62,Tuskegee,55,11/10/2018
20181106339,Massachusetts-Lowell,88,Wagner,84,11/10/2018
20181106340,Cal State Fullerton,106,West Coast Baptist,53,11/10/2018
20181106341,Mississippi,90,Western Michigan,64,11/10/2018
20181106342,Toledo,99,Wilberforce,58,11/10/2018
20181106343,Duquesne,84,William & Mary,70,11/10/2018
20181106344,Southern Illinois-Edwardsville,82,Winthrop,94,11/10/2018
20181106345,High Point,60,Wofford,68,11/10/2018
20181106346,Murray State,73,Wright State,54,11/10/2018
20181106347,Oregon State,83,Wyoming,64,11/10/2018
20181106348,Duke,94,Army,72,11/11/2018
20181106349,Virginia,76,George Washington,57,11/11/2018
20181106350,Michigan State,106,Florida Gulf Coast,82,11/11/2018
20181106351,Tulane,69,Florida State,80,11/11/2018
20181106352,Mississippi State,77,Hartford,59,11/11/2018
20181106353,Texas Christian,79,Oral Roberts,62,11/11/2018
20181106354,Alabama,81,Appalachian State,73,11/11/2018
20181106355,NJIT,63,Brown,60,11/11/2018
20181106356,Seattle,82,Bryant,59,11/11/2018
20181106357,Arizona,82,Cal Poly,61,11/11/2018
20181106358,North Dakota State,82,UC-Santa Barbara,63,11/11/2018
20181106359,Howard,99,Central Pennsylvania College,71,11/11/2018
20181106360,Cornell,57,Colgate,73,11/11/2018
20181106361,Loyola (MD),80,Dartmouth,82,11/11/2018
20181106362,Rutgers,95,Drexel,66,11/11/2018
20181106363,Creighton,75,East Tennessee State,69,11/11/2018
20181106364,Boston University,94,Emerson,57,11/11/2018
20181106365,Central Florida,79,Florida Atlantic,80,11/11/2018
20181106366,Eastern Michigan,97,Goshen,74,11/11/2018
20181106367,Virginia Military Institute,98,Goucher,34,11/11/2018
20181106368,Iowa,93,Green Bay,82,11/11/2018
20181106369,Marshall,76,Hofstra,72,11/11/2018
20181106370,South Alabama,106,Huntingdon,76,11/11/2018
20181106371,Ohio State,107,Purdue-Fort Wayne,61,11/11/2018
20181106372,Alabama State,97,LaGrange,63,11/11/2018
20181106373,East Carolina,84,Lamar,78,11/11/2018
20181106374,Savannah State,105,Middle Georgia State,95,11/11/2018
20181106375,Connecticut,94,Missouri-Kansas City,66,11/11/2018
20181106376,Washington State,89,Nicholls State,72,11/11/2018
20181106377,Hawaii,51,North Texas,68,11/11/2018
20181106378,Montana State,83,Presentation College,68,11/11/2018
20181106379,Louisiana Tech,76,Sam Houston State,69,11/11/2018
20181106380,Nebraska,87,Southeastern Louisiana,35,11/11/2018
20181106381,Southern Methodist,64,Southern Mississippi,74,11/11/2018
20181106382,Boston College,74,St. Francis (NY),69,11/11/2018
20181106383,Missouri State,83,Stetson,70,11/11/2018
20181106384,Saint Mary's (CA),92,Utah Valley,63,11/11/2018
20181106385,Southern California,78,Vanderbilt,82,11/11/2018
20181106386,Northern Kentucky,99,Wabash,59,11/11/2018
20181106387,Towson,93,Wesley,66,11/11/2018
20181106388,Kansas,84,Vermont,68,11/12/2018
20181106389,North Carolina,90,Stanford,72,11/12/2018
20181106390,Kansas State,64,Denver,56,11/12/2018
20181106391,Southern Illinois,53,Buffalo,62,11/12/2018
20181106392,Rice,73,Alabama A&M,59,11/12/2018
20181106393,Northwestern,63,American,51,11/12/2018
20181106394,South Florida,74,Austin Peay,70,11/12/2018
20181106395,Virginia Commonwealth,72,Bowling Green State,61,11/12/2018
20181106396,James Madison,82,Bridgewater (VA),59,11/12/2018
20181106397,Arkansas,81,UC-Davis,58,11/12/2018
20181106398,Ohio,81,Campbell,73,11/12/2018
20181106399,Butler,84,Detroit Mercy,63,11/12/2018
20181106400,Youngstown State,106,Heidelberg,83,11/12/2018
20181106401,Duquesne,89,Illinois-Chicago,88,11/12/2018
20181106402,Grand Canyon,76,Jacksonville,59,11/12/2018
20181106403,Penn State,76,Jacksonville State,61,11/12/2018
20181106404,Samford,74,Kennesaw State,60,11/12/2018
20181106405,UC-Irvine,87,Life Pacific,53,11/12/2018
20181106406,Arizona State,90,Long Beach State,58,11/12/2018
20181106407,Texas,65,Louisiana-Monroe,55,11/12/2018
20181106408,Maryland-Baltimore County,75,Manhattan,52,11/12/2018
20181106409,Citadel,148,Mid-Atlantic Christian,75,11/12/2018
20181106410,Belmont,92,Middle Tennessee,73,11/12/2018
20181106411,Miami (OH),91,Midway,42,11/12/2018
20181106412,Binghamton,107,Misericordia,64,11/12/2018
20181106413,Arkansas State,89,Missouri Baptist University,54,11/12/2018
20181106414,Saint Joseph's,78,Monmouth,63,11/12/2018
20181106415,Montana,79,Montana Tech,55,11/12/2018
20181106416,DePaul,91,Morgan State,63,11/12/2018
20181106417,New Hampshire,100,Mount Saint Vincent,61,11/12/2018
20181106418,Maryland,82,North Carolina A&T,59,11/12/2018
20181106419,South Dakota,90,Northern Arizona,74,11/12/2018
20181106420,Texas-San Antonio,67,Oklahoma,87,11/12/2018
20181106421,New Orleans,87,Pensacola Christian,59,11/12/2018
20181106422,Baylor,91,Prairie View,80,11/12/2018
20181106423,Southeast Missouri State,102,Quincy,66,11/12/2018
20181106424,Washington,66,San Diego,63,11/12/2018
20181106425,San Francisco,88,Sonoma State,54,11/12/2018
20181106426,Niagara,80,St. Bonaventure,72,11/12/2018
20181106427,Incarnate Word,70,Texas Lutheran,59,11/12/2018
20181106428,Texas A&M-Corpus Christi,69,Texas-Rio Grande Valley,76,11/12/2018
20181106429,Iowa State,85,Texas Southern,73,11/12/2018
20181106430,Pittsburgh,84,Troy,75,11/12/2018
20181106431,Central Arkansas,93,University of the Ozarks,52,11/12/2018
20181106432,Minnesota,78,Utah,69,11/12/2018
20181106433,Presbyterian,109,Welch,57,11/12/2018
20181106434,Sacred Heart,114,Western New England,72,11/12/2018
20181106435,Tennessee,66,Georgia Tech,53,11/13/2018
20181106436,Louisiana State,85,Memphis,76,11/13/2018
20181106437,Tennessee State,67,Little Rock,83,11/13/2018
20181106438,UC-Santa Barbara,88,Cal Lutheran,32,11/13/2018
20181106439,Loyola Marymount,79,Cal State Northridge,64,11/13/2018
20181106440,Pacific,91,Cal State Stanislaus,66,11/13/2018
20181106441,Oral Roberts,69,California Baptist,70,11/13/2018
20181106442,Nevada-Las Vegas,72,UC-Riverside,51,11/13/2018
20181106443,Bucknell,73,Canisius,82,11/13/2018
20181106444,Wofford,94,Carver Bible,35,11/13/2018
20181106445,Delaware,100,Chestnut Hill,62,11/13/2018
20181106446,Illinois State,75,Chicago State,71,11/13/2018
20181106447,Tulane,81,Coastal Carolina,76,11/13/2018
20181106448,Chattanooga,92,Cumberland,61,11/13/2018
20181106449,Loyola (MD),91,Delaware State,62,11/13/2018
20181106450,Colorado,100,Drake,71,11/13/2018
20181106451,Dartmouth,100,Elms,54,11/13/2018
20181106452,Furman,88,Gardner-Webb,86,11/13/2018
20181106453,Georgia Southern,98,George Mason,89,11/13/2018
20181106454,Illinois,80,Georgetown,88,11/13/2018
20181106455,Temple,81,Georgia,77,11/13/2018
20181106456,University of California,80,Hampton,66,11/13/2018
20181106457,Texas State,97,Hardin-Simmons,52,11/13/2018
20181106458,Louisiana Tech,89,Harding,58,11/13/2018
20181106459,Massachusetts,71,Harvard,74,11/13/2018
20181106460,Providence,70,Holy Cross,61,11/13/2018
20181106461,New Mexico,90,Iona,83,11/13/2018
20181106462,Pennsylvania,91,Lafayette,61,11/13/2018
20181106463,Fairfield,87,Long Island University,89,11/13/2018
20181106464,Maryland-Eastern Shore,63,Longwood,66,11/13/2018
20181106465,Purdue-Fort Wayne,111,Manchester,65,11/13/2018
20181106466,Lehigh,78,Marist,72,11/13/2018
20181106467,Central Connecticut State,86,Massachusetts-Lowell,74,11/13/2018
20181106468,Georgia State,62,Mercer,60,11/13/2018
20181106469,Eastern Kentucky,107,Midway,52,11/13/2018
20181106470,Florida International,86,Milwaukee,83,11/13/2018
20181106471,Utah State,94,Mississippi Valley State,59,11/13/2018
20181106472,Idaho,80,Nicholls State,83,11/13/2018
